Week_Index,Week_Start,Week_End,Routes,Avg_SOC,Max_SOC [-],Min_SOC [-],Avg_DOD [-],Avg_Batt_Temp,Avg_Amb_Temp [degC],weeklyAvgBattP,weeklyDistance [km],weeklyTotDistance [km],weeklyDRegEn [kWh],weeklyDNetEn [kWh],weeklyEnAux [kWh],weeklyTotRegEn [kWh],weeklyTotNetEn [kWh],weeklyTotAux [kWh],weeklyAvgCrateChg [1/h],weeklyCycles [-],weeklyTotCycles [-],weeklyDrivingTime [h],weeklyChargingTime [h],weeklyparkingTime [h],Avg_Qcyc,Avg_Qcal,Avg_Qloss
1,01-Feb-2020,07-Feb-2020,route22,0.626199410437831,0.920005885145079,0.271994425886845,0.619339970131717,22.173523529156,-1.59620566680611,-70.3427117100286,1677.55870483736,1677.55870483736,1003.907954751636,2448.601489339584,364.7337141968049,1003.907954751636,2448.601489339584,9.11834285492012,0.25245684233123,7.0,7,70.9161111111111,17.15,79.9338888888889,0.462535003155098,0.163475634175702,0.626010637330801
2,08-Feb-2020,14-Feb-2020,route22,0.640476928347628,0.920006612609452,0.286558126754435,0.587379670049243,22.188079117122,1.84717686867067,-67.3110260796028,1773.04144189167,3450.60014672903,915.759893564164,2737.053999437292,497.65959033642,1919.6678483158041,5185.65548877688,21.5598326133306,0.251474991849861,7.0,14,74.5247222222223,16.2083333333333,77.2669444444444,0.949558868299604,0.380262655138442,1.32982152343805
3,15-Feb-2020,21-Feb-2020,route22,0.637997220510045,0.920006625057405,0.283369217873793,0.592363716804142,22.2024376443933,1.82894412379708,-67.193250983366,1802.64710743903,5253.24725416805,920.8256856300519,2245.509484935644,280.0233865017488,2840.493533945856,7431.164973712519,28.5604172758743,0.251673641751276,7.0,21,76.4466666666667,16.2916666666667,75.2616666666666,1.28648811615367,0.511452966929972,1.79794108308365
4,22-Feb-2020,28-Feb-2020,route22,0.646398020719307,0.920004919228635,0.335466909744847,0.57925804713549,22.3613989339902,8.72087763917462,-69.2934307797306,253.230582180015,5506.47783634807,1018.11420349946,2488.10254818046,245.41165516449803,3858.607737445316,9919.26752189296,34.6957086549868,0.251182069234999,1.0,22,9.59166666666667,2.275,156.133333333333,1.4597745151124,0.581933050851969,2.04170756596437
5,29-Feb-2020,06-Mar-2020,route22,0.630008870628438,0.920004739647277,0.286573452215555,0.605256379344621,22.3742316974332,9.89718888793808,-64.7488120177608,2087.36918612029,7593.84702246836,896.329012695732,2147.062764623572,93.917225,4754.936750141041,12066.33028651656,37.0436392799868,0.251874802704827,7.0,29,84.4627777777778,16.5138888888889,67.0233333333334,1.62173334487408,0.633790248985348,2.25552359385942
6,07-Mar-2020,13-Mar-2020,"route22,route4",0.624692407003037,0.920006630404966,0.262171452393924,0.615754790425413,22.3645582512236,9.09146155054339,-64.7546554890985,1967.92606775283,9561.77309022119,1179.613714158,2908.188885286372,318.54840681973724,5934.550464299041,14974.519171802922,45.0073494504802,0.252248916198322,7.0,36,85.5255555555556,16.7416666666667,65.7327777777778,1.90429816862028,0.731821304646674,2.63611947326696
7,14-Mar-2020,20-Mar-2020,route4,0.630605751423536,0.92000620782025,0.290422103061402,0.604656529648816,22.2968326880417,7.17643534128968,-63.4725660265578,1949.58340135623,11511.3564915774,855.0638167406041,2085.421448726704,328.35279920493844,6789.61428103964,17059.94062052964,53.2161694306037,0.251934227342726,7.0,43,87.5702777777778,16.4027777777778,64.0269444444445,2.16283543571035,0.816464719414802,2.97930015512515
8,21-Mar-2020,27-Mar-2020,route4,0.62646727429687,0.920005045292595,0.289060666238203,0.611562874796175,22.4302295352616,12.9377204372217,-62.8256530523467,2080.23292412468,13591.5894157021,863.3213666415921,2057.10256936508,312.88644881481486,7652.935647681241,19117.043189894724,61.038330650974,0.252042962287299,7.0,50,92.1625,16.5277777777778,59.3097222222222,2.40430138806921,0.893623705596237,3.29792509366545
9,28-Mar-2020,03-Apr-2020,route4,0.630258872426017,0.92000679746471,0.294439021040416,0.600821229970982,22.3627510182406,10.5515745237224,-62.9543834270678,2014.64591104928,15606.2353267514,1128.7781711983641,2363.046695410872,135.5114187695856,8781.7138188796,21480.089885305562,64.4261161202137,0.251760792541726,7.0,57,89.4513888888889,16.1944444444444,62.3541666666666,2.63230422092811,0.965440821523145,3.59774504245126
10,04-Apr-2020,10-Apr-2020,"route4,route42",0.642731589142462,0.920006796586514,0.301866153127904,0.592313662759707,22.3540304376011,8.34062291250825,-70.199619230021,1803.15869273862,17409.39401949,312.0541959125536,1222.164341009272,136.1814732641976,9093.76801479216,22702.254226314843,67.8306529518186,0.251535190843933,7.0,64,65.9580555555555,15.9361111111111,86.1058333333334,2.84348717887111,1.04431965627823,3.88780683514934
11,11-Apr-2020,17-Apr-2020,route42,0.642027086627156,0.920006544974608,0.294569199830329,0.593595521886462,22.4933437372812,14.4004111664818,-71.9060354425904,1929.93931593746,19339.3333354275,411.685457916052,1409.7535520697638,47.593555555555604,9505.453472708201,24112.007778384603,69.0204918407075,0.251498262724807,7.0,71,64.4855555555555,15.9361111111111,87.5783333333334,2.99733594073394,1.12986236671066,4.1271983074446
12,18-Apr-2020,24-Apr-2020,"route42,route22",0.640230597210427,0.920005706546995,0.298022755711994,0.596262705728257,22.462600086629,12.6369904754239,-72.4311199248775,1850.73199309507,21190.0653285225,966.8264189026321,2278.431048967672,96.7961111111112,10472.27989161084,26390.438827352285,71.4403946184853,0.251616919806078,7.0,78,63.4958333333333,15.9833333333333,88.5208333333334,3.14928131682225,1.21333223563282,4.36261355245507
13,25-Apr-2020,01-May-2020,route22,0.632766122635043,0.920005973589665,0.28564735123796,0.589945046602778,22.4306843037331,15.0439223578746,-61.9937668613989,2182.82377873683,23372.8891072594,903.9990479513681,1998.5176160966,114.24304663732761,11376.278939562202,28388.95644344888,74.2964707844185,0.251383905244311,7.0,85,90.4847222222223,15.7666666666667,61.7486111111111,3.32388165822118,1.28838941446794,4.61227107268913
14,02-May-2020,08-May-2020,route22,0.636453282035897,0.920005043101486,0.312550903718776,0.582575700710794,22.5272944582024,22.0988332005346,-59.3662601797985,2373.77825616098,25746.6673634204,844.0552441968481,1913.895598438544,144.6293508422656,12220.33418375904,30302.85204188744,77.9122045554751,0.251195864928039,7.0,92,101.214166666667,15.6777777777778,51.1080555555555,3.50208534117741,1.34306909917655,4.84515444035396
15,09-May-2020,15-May-2020,route22,0.632636639499785,0.92000608216712,0.302019307067516,0.586175535998833,22.4574723727991,19.1369131039275,-58.0799184071992,2436.57849384554,28183.2458572659,941.6372531368121,2207.073406636564,96.94744444444443,13161.971436895881,32509.925448523998,80.3358906665862,0.251444997772633,7.0,99,104.995833333333,15.7888888888889,47.2152777777777,3.6733177416057,1.3836936040349,5.0570113456406
