Week_Index,Week_Start,Week_End,Routes,Avg_SOC,Max_SOC [-],Min_SOC [-],Avg_DOD [-],Avg_Batt_Temp,Avg_Amb_Temp [degC],weeklyAvgBattP,weeklyDistance [km],weeklyTotDistance [km],weeklyDRegEn [kWh],weeklyDNetEn [kWh],weeklyEnAux [kWh],weeklyTotRegEn [kWh],weeklyTotNetEn [kWh],weeklyTotAux [kWh],weeklyAvgCrateChg [1/h],weeklyCycles [-],weeklyTotCycles [-],weeklyDrivingTime [h],weeklyChargingTime [h],weeklyparkingTime [h],Avg_Qcyc,Avg_Qcal,Avg_Qloss
1,01-Sep-2020,07-Sep-2020,route12,0.653108405525088,0.920005594914247,0.326492388280523,0.554990486888624,22.5292806357658,21.7032098528308,-61.4589023975585,1815.58138606515,1815.58138606515,258.291377359704,625.2479998864441,24.05215580246912,258.291377359704,625.2479998864441,0.601303895061728,0.250328669794678,7,7,109.229444444445,15.5277777777778,43.2427777777777,0.453911579795346,0.102456616320564,0.55636819611591
2,08-Sep-2020,14-Sep-2020,route12,0.645619625408866,0.920006178871319,0.33108227987708,0.576944766110908,22.6211625078186,22.5159505984674,-66.3759995628794,1660.30410883124,3475.88549489639,240.2774265439484,547.604549551228,27.33026868686868,498.568803903652,1172.852549437668,1.28456061223345,0.250912413376002,7,14,92.7236111111111,15.9944444444444,59.2819444444444,0.984467247498499,0.315320877507254,1.29978812500575
3,15-Sep-2020,21-Sep-2020,route12,0.649613235842042,0.920006651727084,0.328063241914683,0.564590397508153,22.510857345578,17.6221424581344,-64.5330796798251,1658.90897582492,5134.79447072131,308.83221884962404,692.515705230576,29.34866666666668,807.401022753276,1865.3682546682442,2.01827727890011,0.250646284989856,7,21,97.2569444444445,15.5972222222222,55.1458333333333,1.34079326935995,0.450171730182216,1.79096499954217
4,22-Sep-2020,28-Sep-2020,route12,0.646306046881319,0.920003208437869,0.326720339954115,0.572397365033436,22.4967480272341,15.3437931727305,-66.4194572979548,1599.01429529618,6733.8087660175,340.5455804620908,678.9235547508761,34.986693415637845,1147.946603215368,2544.291809419124,2.89294461429106,0.250903620723249,7,28,90.7475000000001,15.7361111111111,61.5163888888888,1.63880778168729,0.566016761762835,2.20482454345012
5,29-Sep-2020,05-Oct-2020,"route12,route24",0.629926279861838,0.920006421334552,0.289616352387132,0.599256566829513,22.5068995103482,18.2349605383377,-60.8924664891441,2317.96241860981,9051.7711846273,992.29458238762,2226.894528912432,106.14950231481481,2140.241185602988,4771.18633833156,5.54668217216143,0.251656466762975,7,35,105.583888888889,16.3638888888889,46.0522222222222,1.87543393953029,0.6438079399189,2.51924187944919
6,06-Oct-2020,12-Oct-2020,route24,0.629955822741145,0.9200061304323,0.287011860519667,0.602183450561188,22.3673971983625,10.343008297105,-64.0548690521253,2156.40911874228,11208.1803033696,1006.8673582082761,2237.907582717832,107.72744444444442,3147.108543811264,7009.093921049401,8.23986828327254,0.251786841224252,7,42,86.2211111111111,16.3333333333333,65.4455555555556,2.17106214716396,0.743801475986738,2.9148636231507
7,13-Oct-2020,19-Oct-2020,route24,0.636651302463386,0.920006652429811,0.295670881418837,0.588988420449971,22.476150170386,16.4131056802818,-63.4536757429634,2191.29088783566,13399.4711912052,1101.12753169878,2602.7139352256963,106.36914969135802,4248.23607551004,9611.80785627508,10.8990970255565,0.251310732504521,7,49,86.385,15.95,65.665,2.39790107841258,0.832192574400937,3.23009365281352
8,20-Oct-2020,26-Oct-2020,route24,0.628836521523003,0.920006727326866,0.28741021832347,0.52793903113882,22.4946679709983,18.3078581081761,-60.9483269309757,2434.46117946682,15833.9323706721,797.249957107012,1815.4589096935042,124.4326666666668,5045.48603261704,11427.266765968601,14.0099136922232,0.251733932569183,7,56,97.7491666666667,16.275,53.9758333333333,2.61799876033476,0.915567969736447,3.53356673007121
9,27-Oct-2020,02-Nov-2020,route24,0.625772122166701,0.920004811809702,0.284152279143382,0.604503869692444,22.387675654495,12.3437827758476,-62.1072069259258,2260.99946748581,18094.9318381579,973.8078977118639,2420.0036188276804,99.99770348583878,6019.29393032892,13847.270384796278,16.5098562793691,0.251875317612922,7,63,93.661388888889,16.2694444444444,58.0691666666666,2.82082823411398,0.974529813862792,3.79535804797677
10,03-Nov-2020,09-Nov-2020,"route24,route12",0.639284196364304,0.92000564045892,0.294815222974046,0.588865550878985,22.4447277389196,14.1999469166834,-65.7807691344186,1912.00305651571,20006.9348946736,327.0805899772008,694.0483116419441,30.79073842592592,6346.374520306122,14541.318696438202,17.2796247400173,0.251350123928659,7,70,83.0486111111112,15.8055555555556,69.1458333333333,3.0389631316683,1.061891775085,4.10085490675329
11,10-Nov-2020,16-Nov-2020,route12,0.645484215875075,0.920006678013057,0.327005109829826,0.576805169963232,22.3118371578809,5.30421566371434,-67.2953651889917,1430.07897659456,21437.0138712681,210.4370942708812,537.362816806644,81.700485659898,6556.811614577001,15078.68151324484,19.3221368815147,0.25114604461774,7,77,84.0680555555557,15.4944444444444,68.4374999999999,3.19059919166959,1.12630860175415,4.31690779342373
12,17-Nov-2020,23-Nov-2020,route12,0.648015763899464,0.920004450651888,0.326990896173748,0.576909066753523,22.1938332423167,-0.899663285858603,-71.124180137735,1207.11582025674,22644.1296915249,321.22930760982126,800.1566590570601,141.296835555552,6878.040922186839,15878.838172301921,22.8545577704035,0.251175464983266,7,84,70.8325,15.4083333333333,81.7591666666667,3.34312155003649,1.19435676300518,4.53747831304167
13,24-Nov-2020,30-Nov-2020,route12,0.64670117302202,0.920006711189193,0.32378955449642,0.576411238301533,22.3022838027548,4.0699991861747,-68.7994025199758,1364.44618049531,24008.5758720202,241.97563189155005,646.477932586888,95.3711693804712,7120.01655407836,16525.3161048888,25.2388370049153,0.251144867896128,7,91,82.1816666666667,15.4111111111111,70.4072222222221,3.49864188740322,1.27020949509686,4.76885138250008
14,01-Dec-2020,07-Dec-2020,route12,0.646183973248671,0.920006661442429,0.321740318940533,0.580040728101837,22.184136053483,-1.66666360514489,-70.9074397481908,1207.79905856756,25216.3749305877,236.6112663948212,692.8923984115161,188.4080231460904,7356.627820473201,17218.20850330032,29.9490375835676,0.251348664308381,7,98,72.9980555555555,15.475,79.5269444444445,3.64215851645953,1.33319179842888,4.97535031488841
15,08-Dec-2020,14-Dec-2020,route24,0.639403884686786,0.920006285356889,0.282778556307126,0.604433749891669,22.1375561132955,-0.496973335828608,-72.6480780029173,1531.07358541869,26747.4485160064,1012.7252870325801,2806.526599694256,523.729494543444,8369.35310750576,20024.73510299456,43.0422749471536,0.252023666638671,7,105,57.4430555555555,16.0055555555556,94.5513888888889,3.7843771088144,1.4053857136026,5.189762822417
16,15-Dec-2020,21-Dec-2020,route24,0.62649532101852,0.920003874022093,0.225239559283655,0.632752672714466,22.0634394262541,-4.13431705741205,-72.6351176091519,1529.18129017172,28276.6298061782,1050.3052772495882,3200.3787910607084,579.380529596688,9419.658384755361,23225.11389405528,57.5267881870708,0.252937971762369,7,112,60.2541666666666,16.65,91.0958333333334,3.92375065061668,1.47615809817272,5.3999087487894
17,22-Dec-2020,28-Dec-2020,route24,0.626427790204795,0.920004988374222,0.243450517579141,0.63922313680448,21.9484517033611,-9.67142833471361,-78.9198672231465,1252.34035462468,29528.9701608028,980.2695560026959,3622.60221054026,980.0140117950601,10399.927940758042,26847.71610459552,82.0271384819474,0.253202216057484,7,119,45.7763888888889,16.7972222222222,105.426388888889,4.06460966140931,1.54961345459091,5.61422311600022
